PERMNO,date,EXCHCD,TICKER_x,DIVAMT,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,NUMTRD,RETX,sprtrn,pe_exi,pe_inc,dpr,npm,gpm,roa,roe,debt_at,dltt_be,intcov_ratio,quick_ratio,curr_ratio,inv_turn,at_turn
10107,2022-01-03,3.0,MSFT,0.0,329.78,338.0,334.75,28823566.0,-0.004668,7507980.0,335.35001,397115.0,-0.004668,0.006374,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-04,3.0,MSFT,0.0,326.12,335.20001,329.01001,32626156.0,-0.017147,7507980.0,334.82999,520038.0,-0.017147,-0.00063,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-05,3.0,MSFT,0.0,315.98001,326.07001,316.38,39957778.0,-0.038388,7507980.0,325.85999,641921.0,-0.038388,-0.019393,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-06,3.0,MSFT,0.0,311.48999,318.70001,313.88,39744069.0,-0.007902,7507980.0,313.14999,630065.0,-0.007902,-0.000964,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-07,3.0,MSFT,0.0,310.09,316.5,314.04001,32664078.0,0.00051,7507980.0,314.14999,501305.0,0.00051,-0.00405,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-10,3.0,MSFT,0.0,304.69,314.72,314.26999,44236612.0,0.000732,7507980.0,309.48499,696483.0,0.000732,-0.001441,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-11,3.0,MSFT,0.0,309.89001,316.60999,314.98001,29307097.0,0.002259,7507980.0,313.38,422504.0,0.002259,0.00916,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-12,3.0,MSFT,0.0,317.07999,323.41,318.26999,34312485.0,0.010445,7507980.0,319.67001,500890.0,0.010445,0.002818,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-13,3.0,MSFT,0.0,304.0,320.88,304.79999,45286074.0,-0.042323,7507980.0,320.466,713695.0,-0.042323,-0.014244,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-14,3.0,MSFT,0.0,303.75,310.82001,310.20001,39736749.0,0.017717,7507980.0,304.25,529497.0,0.017717,0.00082,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-18,3.0,MSFT,0.0,301.73999,309.79999,302.64999,42324592.0,-0.024339,7507980.0,304.07001,662095.0,-0.024339,-0.018388,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-19,3.0,MSFT,0.0,302.70001,313.9093,303.32999,45814517.0,0.002247,7507980.0,306.29001,682163.0,0.002247,-0.00969,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-20,3.0,MSFT,0.0,301.14001,311.64941,301.60001,35351255.0,-0.005703,7496866.0,309.07001,554166.0,-0.005703,-0.011037,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-21,3.0,MSFT,0.0,295.60999,304.10999,296.03,57897463.0,-0.018468,7496866.0,302.685,891103.0,-0.018468,-0.018915,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-24,3.0,MSFT,0.0,276.04999,297.10999,296.37,85823911.0,0.001149,7496866.0,292.20001,1310000.0,0.001149,0.002772,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-25,3.0,MSFT,0.0,285.17001,294.98999,288.48999,72658473.0,-0.026588,7496866.0,291.51999,1110000.0,-0.026588,-0.012172,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-26,3.0,MSFT,0.0,293.03,308.5,296.70999,90217932.0,0.028493,7496866.0,307.98499,1200000.0,0.028493,-0.001497,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-27,3.0,MSFT,0.0,297.92999,307.29999,299.84,53322770.0,0.010549,7496866.0,302.66,742565.0,0.010549,-0.005384,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-28,3.0,MSFT,0.0,294.45001,308.48001,308.26001,49616322.0,0.028082,7496866.0,300.23001,697970.0,0.028082,0.024348,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-01-31,3.0,MSFT,0.0,306.37,312.38,310.98001,46306571.0,0.008824,7496866.0,308.95001,647265.0,0.008824,0.018886,34.785,34.785,0.249,0.385,0.758,0.277,0.512,0.254,0.518,32.578,2.228,2.261,16.689,0.55
10107,2022-02-01,3.0,MSFT,0.0,305.1293,310.63,308.76001,40838131.0,-0.007139,7496866.0,310.41,600469.0,-0.007139,0.006863,31.82,31.82,0.243,0.385,0.759,0.286,0.509,0.245,0.487,35.212,2.155,2.191,15.791,0.561
10107,2022-02-02,3.0,MSFT,0.0,308.88,315.12,313.45999,36566574.0,0.015222,7496866.0,309.63,515134.0,0.015222,0.009423,31.82,31.82,0.243,0.385,0.759,0.286,0.509,0.245,0.487,35.212,2.155,2.191,15.791,0.561
10107,2022-02-03,3.0,MSFT,0.0,299.95999,311.23001,301.25,43662713.0,-0.038952,7496866.0,309.48999,587594.0,-0.038952,-0.024391,31.82,31.82,0.243,0.385,0.759,0.286,0.509,0.245,0.487,35.212,2.155,2.191,15.791,0.561
10107,2022-02-04,3.0,MSFT,0.0,299.97,308.79999,305.94,35018097.0,0.015568,7496866.0,300.20999,511240.0,0.015568,0.005157,31.82,31.82,0.243,0.385,0.759,0.286,0.509,0.245,0.487,35.212,2.155,2.191,15.791,0.561
10107,2022-02-07,3.0,MSFT,0.0,299.89999,307.84,300.95001,28476821.0,-0.01631,7496866.0,306.17001,428570.0,-0.01631,-0.003702,31.82,31.82,0.243,0.385,0.759,0.286,0.509,0.245,0.487,35.212,2.155,2.191,15.791,0.561
10107,2022-02-08,3.0,MSFT,0.0,299.95001,305.561,304.56,32375104.0,0.011995,7496866.0,301.25,426025.0,0.011995,0.008401,31.82,31.82,0.243,0.385,0.759,0.286,0.509,0.245,0.487,35.212,2.155,2.191,15.791,0.561
10107,2022-02-09,3.0,MSFT,0.0,307.39001,311.92999,311.20999,31280605.0,0.021835,7496866.0,309.86499,446720.0,0.021835,0.014517,31.82,31.82,0.243,0.385,0.759,0.286,0.509,0.245,0.487,35.212,2.155,2.191,15.791,0.561
10107,2022-02-10,3.0,MSFT,0.0,300.70001,309.12,302.38,45304866.0,-0.028373,7496866.0,304.04001,609817.0,-0.028373,-0.018116,31.82,31.82,0.243,0.385,0.759,0.286,0.509,0.245,0.487,35.212,2.155,2.191,15.791,0.561
10107,2022-02-11,3.0,MSFT,0.0,294.22,304.29001,295.04001,39124413.0,-0.024274,7496866.0,303.19,617421.0,-0.024274,-0.018969,31.82,31.82,0.243,0.385,0.759,0.286,0.509,0.245,0.487,35.212,2.155,2.191,15.791,0.561
