PERMNO,date,EXCHCD,TICKER,COMNAM,PERMCO,DIVAMT,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,NUMTRD,RETX,sprtrn
10107,2022-01-03,3,MSFT,MICROSOFT CORP,8048,,329.78000,338.00000,334.75000,28823566,-0.004668,7507980,335.35001,397115,-0.004668,0.006374
10107,2022-01-04,3,MSFT,MICROSOFT CORP,8048,,326.12000,335.20001,329.01001,32626156,-0.017147,7507980,334.82999,520038,-0.017147,-0.000630
10107,2022-01-05,3,MSFT,MICROSOFT CORP,8048,,315.98001,326.07001,316.38000,39957778,-0.038388,7507980,325.85999,641921,-0.038388,-0.019393
10107,2022-01-06,3,MSFT,MICROSOFT CORP,8048,,311.48999,318.70001,313.88000,39744069,-0.007902,7507980,313.14999,630065,-0.007902,-0.000964
10107,2022-01-07,3,MSFT,MICROSOFT CORP,8048,,310.09000,316.50000,314.04001,32664078,0.000510,7507980,314.14999,501305,0.000510,-0.004050
10107,2022-01-10,3,MSFT,MICROSOFT CORP,8048,,304.69000,314.72000,314.26999,44236612,0.000732,7507980,309.48499,696483,0.000732,-0.001441
10107,2022-01-11,3,MSFT,MICROSOFT CORP,8048,,309.89001,316.60999,314.98001,29307097,0.002259,7507980,313.38000,422504,0.002259,0.009160
10107,2022-01-12,3,MSFT,MICROSOFT CORP,8048,,317.07999,323.41000,318.26999,34312485,0.010445,7507980,319.67001,500890,0.010445,0.002818
10107,2022-01-13,3,MSFT,MICROSOFT CORP,8048,,304.00000,320.88000,304.79999,45286074,-0.042323,7507980,320.46600,713695,-0.042323,-0.014244
10107,2022-01-14,3,MSFT,MICROSOFT CORP,8048,,303.75000,310.82001,310.20001,39736749,0.017717,7507980,304.25000,529497,0.017717,0.000820
10107,2022-01-18,3,MSFT,MICROSOFT CORP,8048,,301.73999,309.79999,302.64999,42324592,-0.024339,7507980,304.07001,662095,-0.024339,-0.018388
10107,2022-01-19,3,MSFT,MICROSOFT CORP,8048,,302.70001,313.90930,303.32999,45814517,0.002247,7507980,306.29001,682163,0.002247,-0.009690
10107,2022-01-20,3,MSFT,MICROSOFT CORP,8048,,301.14001,311.64941,301.60001,35351255,-0.005703,7496866,309.07001,554166,-0.005703,-0.011037
10107,2022-01-21,3,MSFT,MICROSOFT CORP,8048,,295.60999,304.10999,296.03000,57897463,-0.018468,7496866,302.68500,891103,-0.018468,-0.018915
10107,2022-01-24,3,MSFT,MICROSOFT CORP,8048,,276.04999,297.10999,296.37000,85823911,0.001149,7496866,292.20001,1.31E6,0.001149,0.002772
10107,2022-01-25,3,MSFT,MICROSOFT CORP,8048,,285.17001,294.98999,288.48999,72658473,-0.026588,7496866,291.51999,1.11E6,-0.026588,-0.012172
10107,2022-01-26,3,MSFT,MICROSOFT CORP,8048,,293.03000,308.50000,296.70999,90217932,0.028493,7496866,307.98499,1.2E6,0.028493,-0.001497
10107,2022-01-27,3,MSFT,MICROSOFT CORP,8048,,297.92999,307.29999,299.84000,53322770,0.010549,7496866,302.66000,742565,0.010549,-0.005384
10107,2022-01-28,3,MSFT,MICROSOFT CORP,8048,,294.45001,308.48001,308.26001,49616322,0.028082,7496866,300.23001,697970,0.028082,0.024348
10107,2022-01-31,3,MSFT,MICROSOFT CORP,8048,,306.37000,312.38000,310.98001,46306571,0.008824,7496866,308.95001,647265,0.008824,0.018886
10107,2022-02-01,3,MSFT,MICROSOFT CORP,8048,,305.12930,310.63000,308.76001,40838131,-0.007139,7496866,310.41000,600469,-0.007139,0.006863
10107,2022-02-02,3,MSFT,MICROSOFT CORP,8048,,308.88000,315.12000,313.45999,36566574,0.015222,7496866,309.63000,515134,0.015222,0.009423
10107,2022-02-03,3,MSFT,MICROSOFT CORP,8048,,299.95999,311.23001,301.25000,43662713,-0.038952,7496866,309.48999,587594,-0.038952,-0.024391
10107,2022-02-04,3,MSFT,MICROSOFT CORP,8048,,299.97000,308.79999,305.94000,35018097,0.015568,7496866,300.20999,511240,0.015568,0.005157
10107,2022-02-07,3,MSFT,MICROSOFT CORP,8048,,299.89999,307.84000,300.95001,28476821,-0.016310,7496866,306.17001,428570,-0.016310,-0.003702
10107,2022-02-08,3,MSFT,MICROSOFT CORP,8048,,299.95001,305.56100,304.56000,32375104,0.011995,7496866,301.25000,426025,0.011995,0.008401
10107,2022-02-09,3,MSFT,MICROSOFT CORP,8048,,307.39001,311.92999,311.20999,31280605,0.021835,7496866,309.86499,446720,0.021835,0.014517
10107,2022-02-10,3,MSFT,MICROSOFT CORP,8048,,300.70001,309.12000,302.38000,45304866,-0.028373,7496866,304.04001,609817,-0.028373,-0.018116
10107,2022-02-11,3,MSFT,MICROSOFT CORP,8048,,294.22000,304.29001,295.04001,39124413,-0.024274,7496866,303.19000,617421,-0.024274,-0.018969
10107,2022-02-14,3,MSFT,MICROSOFT CORP,8048,,291.35001,296.76001,295.00000,36302209,-0.000136,7496866,293.76999,543645,-0.000136,-0.003841
10107,2022-02-15,3,MSFT,MICROSOFT CORP,8048,,297.01999,300.79999,300.47000,27361580,0.018542,7496866,300.00800,403263,0.018542,0.015767
10107,2022-02-16,3,MSFT,MICROSOFT CORP,8048,0.62000,293.67999,300.87000,299.50000,29956515,-0.001165,7496866,298.36499,417122,-0.003228,0.000881
10107,2022-02-17,3,MSFT,MICROSOFT CORP,8048,,290.00000,296.79999,290.73001,32422138,-0.029282,7496866,296.35999,508444,-0.029282,-0.021173
10107,2022-02-18,3,MSFT,MICROSOFT CORP,8048,,286.30499,293.85999,287.92999,34213657,-0.009631,7496866,293.04999,556458,-0.009631,-0.007166
10107,2022-02-22,3,MSFT,MICROSOFT CORP,8048,,284.50000,291.54001,287.72000,41684303,-0.000729,7496866,285.00000,612021,-0.000729,-0.010143
10107,2022-02-23,3,MSFT,MICROSOFT CORP,8048,,280.10001,291.70001,280.26999,37773613,-0.025893,7496866,290.17999,650277,-0.025893,-0.018412
10107,2022-02-24,3,MSFT,MICROSOFT CORP,8048,,271.51999,295.16000,294.59000,56907841,0.051094,7496866,272.51001,821064,0.051094,0.014957
10107,2022-02-25,3,MSFT,MICROSOFT CORP,8048,,291.65500,297.63000,297.31000,32514141,0.009233,7496866,295.14001,523218,0.009233,0.022373
10107,2022-02-28,3,MSFT,MICROSOFT CORP,8048,,293.00000,299.14001,298.79001,28814144,0.004978,7496866,294.31000,454575,0.004978,-0.002443
10107,2022-03-01,3,MSFT,MICROSOFT CORP,8048,,292.14999,299.97000,294.95001,31320281,-0.012852,7496866,296.39999,469910,-0.012852,-0.015473
10107,2022-03-02,3,MSFT,MICROSOFT CORP,8048,,293.69800,301.47000,300.19000,31825624,0.017766,7496866,295.35999,534238,0.017766,0.018643
10107,2022-03-03,3,MSFT,MICROSOFT CORP,8048,,294.04999,303.13000,295.92001,27255075,-0.014224,7496866,302.89001,410326,-0.014224,-0.005255
10107,2022-03-04,3,MSFT,MICROSOFT CORP,8048,,287.16501,295.66000,289.85999,32321650,-0.020479,7496866,294.29001,541180,-0.020479,-0.007934
10107,2022-03-07,3,MSFT,MICROSOFT CORP,8048,,278.53000,289.69000,278.91000,43086709,-0.037777,7496866,288.53000,676353,-0.037777,-0.029518
10107,2022-03-08,3,MSFT,MICROSOFT CORP,8048,,270.00000,283.95999,275.85001,48082527,-0.010971,7496866,277.79999,702923,-0.010971,-0.007234
10107,2022-03-09,3,MSFT,MICROSOFT CORP,8048,,280.78000,289.60001,288.50000,35138885,0.045858,7496866,283.44000,509257,0.045858,0.025698
10107,2022-03-10,3,MSFT,MICROSOFT CORP,8048,,280.57999,286.60001,285.59000,30600158,-0.010087,7496866,283.01999,463212,-0.010087,-0.004292
10107,2022-03-11,3,MSFT,MICROSOFT CORP,8048,,279.42999,289.51001,280.07001,27176913,-0.019328,7496866,287.95999,422758,-0.019328,-0.012962
10107,2022-03-14,3,MSFT,MICROSOFT CORP,8048,,275.82001,285.39920,276.44000,30615626,-0.012961,7496866,280.34000,437947,-0.012961,-0.007421
10107,2022-03-15,3,MSFT,MICROSOFT CORP,8048,,278.72501,287.82001,287.14999,34183825,0.038743,7496866,280.35001,510362,0.038743,0.021408
10107,2022-03-16,3,MSFT,MICROSOFT CORP,8048,,283.20001,294.57001,294.39001,38609981,0.025213,7496866,289.10999,535258,0.025213,0.022384
